transaction_id,amount,timestamp,location
TRANS-1000,360.47257466784646,2025-02-16 17:05:46.505678,New York
TRANS-1001,191.7284664649335,2025-01-30 21:17:46.505678,Seattle
TRANS-1002,154.71812154196397,2025-02-12 16:27:46.505678,Chicago
TRANS-1003,410.37426370653736,2025-02-08 18:46:46.505678,Seattle
TRANS-1004,180.92777938359689,2025-02-19 14:14:46.505678,San Francisco
TRANS-1005,236.3697282235603,2025-02-17 20:52:46.505678,Chicago
TRANS-1006,331.15725752273977,2025-01-30 20:20:46.505678,Austin
TRANS-1007,82.35167451128886,2025-02-01 09:43:46.505678,New York
TRANS-1008,267.7946038132043,2025-02-17 22:08:46.505678,Chicago
TRANS-1009,34.8630459585099,2025-02-05 09:57:46.505678,Chicago
TRANS-1010,324.4019500865353,2025-02-07 09:07:46.505678,New York
TRANS-1011,358.1674348200445,2025-02-16 03:05:46.505678,Chicago
TRANS-1012,406.10388392235853,2025-02-14 07:41:46.505678,New York
TRANS-1013,48.60009380450329,2025-02-15 02:42:46.505678,Chicago
TRANS-1014,423.7863873171246,2025-02-13 06:35:46.505678,New York
TRANS-1015,456.70210498676084,2025-02-19 06:03:46.505678,Seattle
TRANS-1016,72.7056246814704,2025-01-30 07:54:46.505678,New York
TRANS-1017,229.09954956084172,2025-02-11 03:11:46.505678,Chicago
TRANS-1018,400.15003068719204,2025-02-16 12:50:46.505678,Seattle
TRANS-1019,243.60019508292584,2025-02-24 10:21:46.505678,New York
TRANS-1020,196.9799354828344,2025-02-17 20:36:46.505678,Austin
TRANS-1021,237.14230990806564,2025-02-14 14:08:46.505678,Austin
TRANS-1022,216.6914721282784,2025-02-14 11:52:46.505678,Seattle
TRANS-1023,40.321040155462875,2025-02-07 17:51:46.505678,San Francisco
TRANS-1024,389.73298120084775,2025-01-30 06:41:46.505678,Austin
TRANS-1025,368.2604921849561,2025-02-23 09:07:46.505678,Seattle
TRANS-1026,52.48956533445412,2025-02-13 14:31:46.505678,San Francisco
TRANS-1027,290.01890610226627,2025-02-02 01:16:46.505678,Austin
TRANS-1028,193.32330538457504,2025-02-05 02:06:46.505678,New York
TRANS-1029,81.8520754855245,2025-02-20 09:26:46.505678,Chicago
TRANS-1030,246.28007288020243,2025-02-01 13:06:46.505678,Austin
TRANS-1031,488.31416929330015,2025-01-29 22:58:46.505678,Austin
TRANS-1032,370.84034366940244,2025-01-30 20:29:46.505678,San Francisco
TRANS-1033,224.57827690606743,2025-01-28 05:59:46.505678,Chicago
TRANS-1034,320.8770364023216,2025-02-13 08:35:46.505678,Austin
TRANS-1035,349.3572486706066,2025-02-26 00:44:46.505678,Seattle
TRANS-1036,449.1126149657387,2025-02-14 00:14:46.505678,Seattle
TRANS-1037,294.45375922273695,2025-02-06 16:37:46.505678,Austin
TRANS-1038,95.76463469439928,2025-01-30 16:31:46.505678,Seattle
TRANS-1039,214.05214105203308,2025-02-08 04:59:46.505678,New York
TRANS-1040,80.88721281807904,2025-01-31 17:25:46.505678,New York
TRANS-1041,466.0698876399837,2025-02-15 10:06:46.505678,Chicago
TRANS-1042,269.5665298157394,2025-02-16 20:53:46.505678,Seattle
TRANS-1043,363.068176938145,2025-02-15 19:23:46.505678,Chicago
TRANS-1044,324.4139856687608,2025-02-17 00:58:46.505678,Chicago
TRANS-1045,46.18663771170892,2025-02-03 12:00:46.505678,Chicago
TRANS-1046,99.45370430214471,2025-01-28 11:12:46.505678,Chicago
TRANS-1047,254.6418222015634,2025-01-31 10:43:46.505678,New York
TRANS-1048,314.7698277407206,2025-02-23 03:55:46.505678,San Francisco
TRANS-1049,235.25099814236262,2025-02-01 21:51:46.505678,Austin
TRANS-1050,303.86365339351255,2025-02-24 06:31:46.505678,New York
TRANS-1051,380.41290571449224,2025-02-15 13:14:46.505678,Seattle
TRANS-1052,398.9678014125187,2025-02-07 19:03:46.505678,Austin
TRANS-1053,428.03310224982727,2025-02-05 09:39:46.505678,San Francisco
TRANS-1054,435.5399152040726,2025-02-25 09:54:46.505678,San Francisco
TRANS-1055,184.2728225168264,2025-02-09 09:37:46.505678,Chicago
TRANS-1056,401.0110177687414,2025-02-08 19:54:46.505678,Austin
TRANS-1057,469.81119099796547,2025-02-15 05:12:46.505678,Seattle
TRANS-1058,35.91367966908665,2025-02-17 07:33:46.505678,Austin
TRANS-1059,494.9171988873204,2025-02-26 03:13:46.505678,Austin
